k001720,"5,134 억원"
k332570,"5,126 억원"
k215200,"5,122 억원"
k065660,"5,120 억원"
k174900,"5,118 억원"
k034830,"5,100 억원"
k145720,"5,092 억원"
k032190,"5,075 억원"
k000020,"5,042 억원"
k033290,"5,036 억원"
k003060,"5,002 억원"
k299030,"4,989 억원"
k232140,"4,983 억원"
k006390,"4,962 억원"
k039840,"4,960 억원"
k053580,"4,944 억원"
k009410,"4,940 억원"
k206640,"4,932 억원"
k041140,"4,899 억원"
k183300,"4,894 억원"
k059090,"4,885 억원"
k347860,"4,860 억원"
k049070,"4,859 억원"
k068400,"4,847 억원"
k123890,"4,835 억원"
k078070,"4,814 억원"
k006730,"4,802 억원"
k298060,"4,774 억원"
k138250,"4,768 억원"
k249420,"4,761 억원"
k003070,"4,740 억원"
k039560,"4,720 억원"
k008350,"4,683 억원"
k032620,"4,677 억원"
k064550,"4,675 억원"
k339770,"4,672 억원"
k034120,"4,664 억원"
k010050,"4,660 억원"
k195870,"4,633 억원"
k263720,"4,628 억원"
k027410,"4,623 억원"
k060720,"4,593 억원"
k322000,"4,586 억원"
k030520,"4,583 억원"
k080160,"4,574 억원"
k950180,"4,570 억원"
k272290,"4,561 억원"
k175250,"4,560 억원"
k200230,"4,559 억원"
k321550,"4,555 억원"
k025860,"4,551 억원"
k122990,"4,550 억원"
k036930,"4,535 억원"
k071320,"4,527 억원"
k029960,"4,525 억원"
k017390,"4,520 억원"
k284620,"4,502 억원"
k089970,"4,477 억원"
k060980,"4,477 억원"
k013120,"4,450 억원"
k000370,"4,442 억원"
k016710,"4,425 억원"
k089030,"4,424 억원"
k000815,"4,421 억원"
k100130,"4,417 억원"
k009680,"4,389 억원"
k001200,"4,388 억원"
k104830,"4,388 억원"
k033180,"4,367 억원"
k097780,"4,361 억원"
k014830,"4,356 억원"
k001510,"4,353 억원"
k093050,"4,342 억원"
k078590,"4,338 억원"
k215000,"4,317 억원"
k108230,"4,316 억원"
k001430,"4,303 억원"
k003800,"4,297 억원"
k044340,"4,272 억원"
k002390,"4,260 억원"
k038500,"4,246 억원"
k001780,"4,202 억원"
k052400,"4,201 억원"
k053210,"4,194 억원"
k063160,"4,186 억원"
k001500,"4,181 억원"
k001530,"4,179 억원"
k119860,"4,145 억원"
k126560,"4,143 억원"
k025950,"4,141 억원"
k192440,"4,097 억원"
k002780,"4,095 억원"
k045390,"4,091 억원"
k034950,"4,073 억원"
k089010,"4,071 억원"
k317330,"4,052 억원"
k189300,"4,045 억원"
k293480,"4,026 억원"
k121600,"4,019 억원"
k101360,"4,015 억원"
k083420,"4,008 억원"
k093320,"4,006 억원"
k073490,"4,002 억원"
k318020,"4,000 억원"
k228670,"3,992 억원"
k225570,"3,980 억원"
k046440,"3,980 억원"
k041190,"3,961 억원"
k002270,"3,933 억원"
k214870,"3,902 억원"
k084690,"3,893 억원"
k200710,"3,889 억원"
k241840,"3,886 억원"
k078020,"3,884 억원"
k077500,"3,878 억원"
k033240,"3,866 억원"
k216080,"3,865 억원"
k004430,"3,864 억원"
k216050,"3,855 억원"
k002210,"3,850 억원"
k011280,"3,845 억원"
k023410,"3,827 억원"
k214390,"3,813 억원"
k052710,"3,810 억원"
k244460,"3,800 억원"
k072520,"3,791 억원"
k121800,"3,790 억원"
k038540,"3,790 억원"
k006060,"3,789 억원"
k029460,"3,788 억원"
k230240,"3,781 억원"
k530060,"3,780 억원"
k003220,"3,775 억원"
k071055,"3,773 억원"
k035890,"3,769 억원"
k001725,"3,767 억원"
k195990,"3,759 억원"
k049950,"3,742 억원"
k099190,"3,737 억원"
k067310,"3,726 억원"
k166480,"3,725 억원"
k095340,"3,719 억원"
k005950,"3,714 억원"
k051370,"3,709 억원"
k096760,"3,708 억원"
k037270,"3,695 억원"
k000140,"3,678 억원"
k043150,"3,669 억원"
k245620,"3,665 억원"
k293940,"3,663 억원"
k004700,"3,657 억원"
k00104K,"3,652 억원"
k102460,"3,644 억원"
k265520,"3,642 억원"
k237880,"3,636 억원"
k220630,"3,635 억원"
k094800,"3,634 억원"
k042040,"3,616 억원"
k299660,"3,603 억원"
k317400,"3,602 억원"
k317690,"3,590 억원"
k243840,"3,589 억원"
k007460,"3,586 억원"
k122450,"3,582 억원"
k072710,"3,580 억원"
k005500,"3,579 억원"
k000050,"3,564 억원"
k068330,"3,542 억원"
k187870,"3,539 억원"
k002310,"3,538 억원"
k052420,"3,536 억원"
k131390,"3,534 억원"
k139670,"3,522 억원"
k109820,"3,519 억원"
k004710,"3,516 억원"
k052260,"3,510 억원"
k082920,"3,489 억원"
k006840,"3,484 억원"
k047310,"3,477 억원"
k900140,"3,471 억원"
k075580,"3,468 억원"
k092220,"3,466 억원"
k002990,"3,462 억원"
k234080,"3,452 억원"
k194700,"3,448 억원"
k138610,"3,441 억원"
k084680,"3,435 억원"
k026890,"3,430 억원"
k079430,"3,419 억원"
k297090,"3,415 억원"
k023800,"3,396 억원"
k294140,"3,395 억원"
k000390,"3,392 억원"
k007810,"3,390 억원"
k005420,"3,368 억원"
k004690,"3,362 억원"
k043610,"3,353 억원"
k217330,"3,352 억원"
k025770,"3,348 억원"
k241820,"3,341 억원"
k304840,"3,338 억원"
k016580,"3,329 억원"
k016800,"3,329 억원"
k354200,"3,323 억원"
k104700,"3,320 억원"
k357120,"3,310 억원"
k088260,"3,306 억원"
k065680,"3,303 억원"
k950190,"3,289 억원"
k064260,"3,289 억원"
k038880,"3,278 억원"
k009155,"3,270 억원"
k335810,"3,261 억원"
k262260,"3,258 억원"
k136490,"3,258 억원"
k084110,"3,256 억원"
k033500,"3,244 억원"
k183190,"3,241 억원"
k037560,"3,237 억원"
k000480,"3,232 억원"
k047920,"3,228 억원"
k123860,"3,205 억원"
k002620,"3,203 억원"
k298690,"3,201 억원"
k040910,"3,195 억원"
k002960,"3,185 억원"
k019680,"3,185 억원"
k161580,"3,178 억원"
k100120,"3,171 억원"
k115180,"3,170 억원"
k011040,"3,169 억원"
k136480,"3,165 억원"
k091810,"3,144 억원"
k213500,"3,142 억원"
k00088K,"3,135 억원"
k123040,"3,129 억원"
k095720,"3,124 억원"
k226330,"3,113 억원"
k065350,"3,106 억원"
k234340,"3,100 억원"
k066590,"3,078 억원"
k005960,"3,076 억원"
k033310,"3,073 억원"
k003300,"3,054 억원"
k082210,"3,054 억원"
k001390,"3,045 억원"
k143160,"3,043 억원"
k001520,"3,043 억원"
k087010,"3,042 억원"
k002240,"3,040 억원"
k058650,"3,036 억원"
k256940,"3,030 억원"
k045660,"3,023 억원"
k142280,"3,020 억원"
k010170,"3,020 억원"
k058400,"3,019 억원"
k161000,"3,012 억원"
k012610,"3,009 억원"
k307750,"3,002 억원"
k118990,"2,999 억원"
k080420,"2,998 억원"
k085370,"2,995 억원"
k039440,"2,992 억원"
k143240,"2,991 억원"
k007690,"2,987 억원"
k025320,"2,977 억원"
k066700,"2,976 억원"
k050960,"2,974 억원"
k122900,"2,973 억원"
k199820,"2,972 억원"
k100700,"2,970 억원"
k060570,"2,968 억원"
k083310,"2,952 억원"
k272550,"2,949 억원"
k208340,"2,947 억원"
k298540,"2,945 억원"
k045100,"2,943 억원"
k036800,"2,935 억원"
k067080,"2,925 억원"
k036030,"2,921 억원"
k102940,"2,910 억원"
k018290,"2,907 억원"
k101160,"2,898 억원"
k017940,"2,885 억원"
k061040,"2,884 억원"
k044490,"2,871 억원"
k267850,"2,869 억원"
k077360,"2,863 억원"
k016450,"2,860 억원"
k053610,"2,860 억원"
k082800,"2,848 억원"
k289080,"2,848 억원"
k002100,"2,842 억원"
k348350,"2,841 억원"
k00279K,"2,837 억원"
k129890,"2,834 억원"
k015860,"2,828 억원"
k013580,"2,822 억원"
k238090,"2,813 억원"
k002020,"2,809 억원"
k306200,"2,808 억원"
k214330,"2,806 억원"
k089600,"2,806 억원"
k251370,"2,804 억원"
k353810,"2,804 억원"
k115960,"2,802 억원"
k036200,"2,787 억원"
k092730,"2,782 억원"
k002150,"2,782 억원"
k060280,"2,769 억원"
k100790,"2,760 억원"
k007340,"2,758 억원"
k228760,"2,748 억원"
k038290,"2,743 억원"
k004360,"2,742 억원"
k110790,"2,741 억원"
k033530,"2,735 억원"
k207760,"2,735 억원"
k099320,"2,729 억원"
k084010,"2,723 억원"
k144960,"2,722 억원"
k036630,"2,719 억원"
k356860,"2,719 억원"
k079980,"2,719 억원"
k023900,"2,715 억원"
k017890,"2,712 억원"
k036890,"2,709 억원"
k308170,"2,708 억원"
k950200,"2,706 억원"
k092070,"2,701 억원"
k092130,"2,698 억원"
k102120,"2,698 억원"
k025000,"2,691 억원"
k045970,"2,684 억원"
k288330,"2,676 억원"
k052020,"2,674 억원"
k001940,"2,670 억원"
k500019,"2,668 억원"
k220100,"2,662 억원"
k253840,"2,661 억원"
k101060,"2,658 억원"
k126340,"2,657 억원"
k082740,"2,656 억원"
k148150,"2,654 억원"
k001570,"2,647 억원"
k530031,"2,646 억원"
k079370,"2,627 억원"
k104480,"2,627 억원"
k004310,"2,621 억원"
k290670,"2,595 억원"
k047820,"2,585 억원"
k017180,"2,584 억원"
k029530,"2,580 억원"
k016590,"2,575 억원"
k352770,"2,570 억원"
k001130,"2,569 억원"
k002810,"2,567 억원"
k086980,"2,567 억원"
k033540,"2,556 억원"
k000430,"2,554 억원"
k035810,"2,554 억원"
k036580,"2,553 억원"
k041830,"2,545 억원"
k031440,"2,544 억원"
k003545,"2,535 억원"
k019175,"2,530 억원"
k074430,"2,529 억원"
k009580,"2,529 억원"
k037710,"2,528 억원"
k051500,"2,523 억원"
k097955,"2,522 억원"
k035080,"2,513 억원"
k053280,"2,511 억원"
k095190,"2,511 억원"
k288620,"2,503 억원"
k036530,"2,503 억원"
k065530,"2,500 억원"
k063080,"2,500 억원"
k234690,"2,494 억원"
k090850,"2,493 억원"
k005389,"2,489 억원"
k005720,"2,484 억원"
k125210,"2,466 억원"
k067900,"2,466 억원"
k205470,"2,464 억원"
k044450,"2,458 억원"
k217600,"2,449 억원"
k004380,"2,436 억원"
k248170,"2,435 억원"
k094280,"2,421 억원"
k092230,"2,421 억원"
k179900,"2,415 억원"
k144620,"2,403 억원"
k008700,"2,402 억원"
k282880,"2,401 억원"
k005810,"2,398 억원"
k191420,"2,397 억원"
k121440,"2,390 억원"
k061250,"2,389 억원"
k300120,"2,388 억원"
k215360,"2,388 억원"
k28513K,"2,385 억원"
k053300,"2,384 억원"
k119610,"2,382 억원"
k264450,"2,377 억원"
k031330,"2,375 억원"
k005390,"2,371 억원"
k229640,"2,370 억원"
k033160,"2,366 억원"
k008060,"2,366 억원"
k101530,"2,364 억원"
k270870,"2,360 억원"
k160550,"2,358 억원"
k006620,"2,353 억원"
k067170,"2,347 억원"
k007860,"2,336 억원"
k068290,"2,335 억원"
k054780,"2,330 억원"
k030210,"2,328 억원"
k058110,"2,327 억원"
k02826K,"2,327 억원"
k003555,"2,324 억원"
k006490,"2,321 억원"
k067290,"2,321 억원"
k002630,"2,312 억원"
k151860,"2,311 억원"
k256840,"2,301 억원"
k200880,"2,289 억원"
k120240,"2,287 억원"
k082850,"2,286 억원"
k011760,"2,282 억원"
k086820,"2,282 억원"
k299900,"2,281 억원"
k003560,"2,281 억원"
k214180,"2,275 억원"
k000540,"2,255 억원"
k035510,"2,253 억원"
k054950,"2,247 억원"
k034810,"2,238 억원"
k236200,"2,230 억원"
k003120,"2,226 억원"
k016610,"2,220 억원"
k048870,"2,215 억원"
k011500,"2,213 억원"
k001270,"2,204 억원"
k003920,"2,203 억원"
k020120,"2,202 억원"
k239610,"2,201 억원"
k200670,"2,189 억원"
k111710,"2,182 억원"
k037460,"2,179 억원"
k160980,"2,174 억원"
k096775,"2,172 억원"
k054450,"2,168 억원"
k267320,"2,163 억원"
k068790,"2,162 억원"
k291650,"2,159 억원"
k331920,"2,156 억원"
k102260,"2,153 억원"
k054920,"2,147 억원"
k136540,"2,147 억원"
k126700,"2,137 억원"
k000680,"2,136 억원"
k050110,"2,135 억원"
k126880,"2,135 억원"
k004960,"2,135 억원"
k033920,"2,135 억원"
k089470,"2,131 억원"
k106240,"2,127 억원"
k049080,"2,122 억원"
k078520,"2,117 억원"
k071670,"2,115 억원"
k095570,"2,112 억원"
k101140,"2,111 억원"
k009520,"2,111 억원"
k302430,"2,109 억원"
k080580,"2,108 억원"
k001070,"2,101 억원"
k070960,"2,099 억원"
k004140,"2,097 억원"
k054210,"2,091 억원"
k001460,"2,086 억원"
k019550,"2,083 억원"
k015360,"2,082 억원"
k064290,"2,081 억원"
k002900,"2,079 억원"
k065450,"2,072 억원"
k012790,"2,071 억원"
k093230,"2,069 억원"
k122350,"2,068 억원"
k042370,"2,063 억원"
k040350,"2,061 억원"
k337930,"2,059 억원"
k123690,"2,057 억원"
k014620,"2,053 억원"
k092200,"2,053 억원"
k054050,"2,052 억원"
k187420,"2,052 억원"
k241690,"2,052 억원"
k347000,"2,051 억원"
k005680,"2,050 억원"
k039860,"2,050 억원"
k091120,"2,048 억원"
k091090,"2,045 억원"
k051160,"2,040 억원"
k089230,"2,037 억원"
k278650,"2,034 억원"
k214260,"2,033 억원"
k104460,"2,030 억원"
k123420,"2,029 억원"
k003200,"2,028 억원"
k002030,"2,020 억원"
k018120,"2,019 억원"
k084730,"2,012 억원"
k227950,"2,011 억원"
k023960,"2,001 억원"
k027050,"2,000 억원"
k003570,"1,998 억원"
k220260,"1,998 억원"
k086890,"1,995 억원"
k001540,"1,989 억원"
k067280,"1,988 억원"
k290550,"1,988 억원"
k200780,"1,987 억원"
k053080,"1,986 억원"
k153710,"1,983 억원"
k043370,"1,978 억원"
k014790,"1,975 억원"
k017550,"1,973 억원"
k021320,"1,973 억원"
k023160,"1,972 억원"
k091580,"1,971 억원"
k265740,"1,969 억원"
k090360,"1,965 억원"
k025750,"1,954 억원"
k003100,"1,954 억원"
k023600,"1,948 억원"
k217730,"1,947 억원"
k251970,"1,947 억원"
k049960,"1,946 억원"
k138580,"1,945 억원"
k203650,"1,943 억원"
k225530,"1,940 억원"
k058610,"1,939 억원"
k33626K,"1,938 억원"
k285490,"1,933 억원"
k030790,"1,928 억원"
k001340,"1,927 억원"
k067990,"1,927 억원"
k000970,"1,927 억원"
k037070,"1,925 억원"
k019210,"1,923 억원"
k002170,"1,923 억원"
k063570,"1,923 억원"
k201490,"1,919 억원"
k208640,"1,911 억원"
k028100,"1,909 억원"
k003030,"1,905 억원"
k086040,"1,901 억원"
k228850,"1,900 억원"
k031980,"1,897 억원"
k214610,"1,897 억원"
k023910,"1,890 억원"
k000490,"1,889 억원"
k110990,"1,886 억원"
k090350,"1,880 억원"
k330350,"1,877 억원"
k001790,"1,875 억원"
k083930,"1,873 억원"
k500015,"1,873 억원"
k041930,"1,872 억원"
k045520,"1,872 억원"
k950110,"1,871 억원"
k001250,"1,869 억원"
k530013,"1,862 억원"
k138490,"1,858 억원"
k004890,"1,853 억원"
k950170,"1,852 억원"
k004980,"1,844 억원"
k014160,"1,843 억원"
k011320,"1,839 억원"
k290690,"1,836 억원"
k263690,"1,835 억원"
k255440,"1,835 억원"
k143210,"1,832 억원"
k051490,"1,832 억원"
k005160,"1,831 억원"
k078150,"1,829 억원"
k107590,"1,828 억원"
k219750,"1,824 억원"
k203690,"1,823 억원"
k196490,"1,823 억원"
k094170,"1,820 억원"
k099220,"1,816 억원"
k084650,"1,815 억원"
k068930,"1,815 억원"
k023760,"1,815 억원"
k109610,"1,814 억원"
k340570,"1,813 억원"
k002720,"1,812 억원"
k009160,"1,812 억원"
k148140,"1,812 억원"
k122640,"1,808 억원"
k079960,"1,808 억원"
k079940,"1,807 억원"
k007210,"1,807 억원"
k304100,"1,806 억원"
k251630,"1,806 억원"
k357550,"1,806 억원"
k301300,"1,802 억원"
k013030,"1,797 억원"
k106190,"1,786 억원"
k039570,"1,786 억원"
k011785,"1,784 억원"
k306040,"1,781 억원"
k013520,"1,778 억원"
k312610,"1,778 억원"
k038390,"1,774 억원"
k290520,"1,773 억원"
k012860,"1,773 억원"
k700001,"1,770 억원"
k065500,"1,770 억원"
k055490,"1,767 억원"
k012700,"1,767 억원"
k281740,"1,765 억원"
k042600,"1,764 억원"
k040300,"1,760 억원"
k115160,"1,756 억원"
k003160,"1,754 억원"
k348210,"1,754 억원"
k302550,"1,754 억원"
k194480,"1,753 억원"
k311690,"1,752 억원"
k010955,"1,748 억원"
k259630,"1,744 억원"
k087260,"1,740 억원"
k003580,"1,736 억원"
k011150,"1,735 억원"
k159580,"1,731 억원"
k054670,"1,730 억원"
k065130,"1,725 억원"
k012690,"1,721 억원"
k104540,"1,721 억원"
k046210,"1,719 억원"
k222040,"1,718 억원"
k347740,"1,714 억원"
k007160,"1,713 억원"
k036190,"1,710 억원"
k051980,"1,710 억원"
k009470,"1,710 억원"
